,flight_number,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate
1583,CO-1023-IAH-DEN,2011-12-14 11:40:00,2011-12-14 11:41:00,-,2011-12-14 13:17:00,2011-12-14 12:52:00,-
1584,CO-1250-MIA-IAH,2011-12-14 14:53:00,2011-12-14 14:51:00,-,2011-12-14 16:45:00,2011-12-14 16:37:00,-
1585,CO-62-IAH-EWR,2011-12-14 14:30:00,2011-12-14 14:31:00,-,2011-12-14 19:03:00,2011-12-14 18:45:00,-
1586,CO-52-IAH-LAX,2011-12-14 07:35:00,2011-12-14 07:40:00,-,2011-12-14 09:21:00,2011-12-14 09:23:00,-
1587,CO-1614-LAX-IAH,2011-12-14 00:30:00,2011-12-14 00:32:00,-,2011-12-14 05:35:00,2011-12-14 05:18:00,-
1588,CO-89-IAH-EWR,2011-12-14 06:00:00,2011-12-14 05:57:00,-,2011-12-14 10:20:00,2011-12-14 10:27:00,-
1589,CO-1090-BOS-IAH,2011-12-14 09:45:00,2011-12-14 09:41:00,-,2011-12-14 13:16:00,2011-12-14 12:43:00,-
1590,CO-45-EWR-MIA,2011-12-14 16:00:00,2011-12-14 15:57:00,-,2011-12-14 19:05:00,2011-12-14 18:53:00,-
1591,CO-63-EWR-IAH,2011-12-14 17:25:00,2011-12-14 18:20:00,-,2011-12-14 20:22:00,2011-12-14 21:09:00,-
1592,CO-50-CLE-EWR,2011-12-14 14:55:00,2011-12-14 15:01:00,-,2011-12-14 16:49:00,2011-12-14 16:40:00,-
1593,CO-1561-PHX-IAH,2011-12-14 08:05:00,2011-12-14 08:21:00,-,2011-12-14 11:35:00,2011-12-14 11:46:00,-
1594,CO-47-IAH-LAX,2011-12-14 19:10:00,2011-12-14 19:11:00,-,2011-12-14 20:56:00,2011-12-14 20:44:00,-
1595,AA-1221-MCO-ORD,2011-12-13 20:00:00,2011-12-13 19:59:00,15,2011-12-13 21:50:00,2011-12-13 21:57:00,K2
1596,AA-4307-ORD-DTW,2011-12-13 18:45:00,2011-12-13 18:42:00,G19A,2011-12-13 21:10:00,2011-12-13 20:55:00,D28
1597,AA-616-DFW-DTW,2011-12-13 09:05:00,2011-12-13 09:03:00,C15,2011-12-13 12:35:00,2011-12-13 12:29:00,D32
1598,AA-431-MIA-SFO,2011-12-13 08:35:00,2011-12-13 08:33:00,D3,2011-12-13 11:50:00,2011-12-13 11:27:00,57
1599,AA-3756-ORD-SLC,2011-12-13 12:15:00,2011-12-13 12:15:00,G13,2011-12-13 14:45:00,2011-12-13 14:36:00,A3
1600,AA-2050-ORD-MIA,2011-12-13 10:40:00,2011-12-13 10:38:00,H15,2011-12-13 14:45:00,2011-12-13 14:20:00,D11
1601,AA-3804-PHL-ORD,2011-12-13 14:35:00,2011-12-13 14:28:00,A7,2011-12-13 16:05:00,2011-12-13 15:44:00,G13
1602,AA-1664-MIA-ATL,2011-12-13 10:15:00,2011-12-13 10:17:00,D46,2011-12-13 12:10:00,2011-12-13 12:08:00,T11
1603,AA-789-ORD-DEN,2011-12-13 13:05:00,2011-12-13 13:02:00,K12,2011-12-13 14:35:00,2011-12-13 14:39:00,A49
1604,AA-1733-ORD-PHX,2011-12-13 19:45:00,2011-12-13 20:02:00,K5,2011-12-13 22:30:00,2011-12-13 00:00:00,6
1605,AA-1733-ORD-PHX,2011-12-13 19:45:00,2011-12-13 20:02:00,K5,2011-12-13 22:30:00,2011-12-13 00:00:00,6
1606,AA-4277-CVG-JFK,2011-12-13 12:10:00,2011-12-13 12:06:00,1,2011-12-13 14:15:00,2011-12-13 13:49:00,31C
1607,AA-2312-DFW-DTW,2011-12-13 20:25:00,2011-12-13 00:00:00,C15,2011-12-13 23:50:00,2011-12-13 00:00:00,D32
1608,AA-85-JFK-SFO,2011-12-13 15:05:00,2011-12-13 15:05:00,2,2011-12-13 18:30:00,2011-12-13 18:36:00,56A
1609,AA-404-MIA-MCO,2011-12-13 06:45:00,2011-12-13 06:40:00,E5,2011-12-13 07:45:00,2011-12-13 07:40:00,14
1610,AA-446-DFW-PHL,2011-12-13 11:50:00,2011-12-13 11:49:00,D40,2011-12-13 15:50:00,2011-12-13 15:44:00,A9
1611,AA-2268-PHX-ORD,2011-12-13 07:15:00,2011-12-13 07:11:00,6,2011-12-13 11:35:00,2011-12-13 11:02:00,H15
1612,AA-4344-ORD-DTW,2011-12-13 11:45:00,2011-12-13 11:38:00,G1B,2011-12-13 14:00:00,2011-12-13 13:45:00,D28
1613,AA-484-DFW-MIA,2011-12-13 16:15:00,2011-12-13 16:40:00,D25,2011-12-13 19:55:00,2011-12-13 20:12:00,D34
1614,AA-3979-CVG-ORD,2011-12-13 07:30:00,2011-12-13 07:23:00,5,2011-12-13 08:00:00,2011-12-13 07:44:00,G1B
1615,AA-3063-SLC-LAX,2011-12-13 20:20:00,2011-12-13 20:12:00,A3,2011-12-13 21:20:00,2011-12-13 00:00:00,44E
1616,AA-3859-IAH-ORD,2011-12-13 07:10:00,2011-12-13 06:59:00,A29,2011-12-13 09:40:00,2011-12-13 09:18:00,H3A
1617,AA-3842-MSP-ORD,2011-12-13 06:00:00,2011-12-13 05:54:00,E14,2011-12-13 07:30:00,2011-12-13 07:02:00,H5
1618,AA-1544-SAN-ORD,2011-12-13 11:25:00,2011-12-13 11:23:00,27,2011-12-13 17:25:00,2011-12-13 17:04:00,H10
1619,AA-649-ORD-SNA,2011-12-13 13:30:00,2011-12-13 00:00:00,K19,2011-12-13 15:50:00,2011-12-13 00:00:00,7
1620,AA-1640-MIA-MCO,2011-12-13 18:30:00,2011-12-13 00:00:00,D45,2011-12-13 19:25:00,2011-12-13 00:00:00,14
1621,AA-518-MIA-JFK,2011-12-13 06:30:00,2011-12-13 06:53:00,D22,2011-12-13 09:15:00,2011-12-13 09:38:00,38
1622,AA-2525-DFW-MIA,2011-12-13 07:25:00,2011-12-13 07:24:00,C8,2011-12-13 11:10:00,2011-12-13 11:07:00,D21
1623,AA-1279-DFW-PHX,2011-12-13 13:00:00,2011-12-13 13:02:00,A22,2011-12-13 14:35:00,2011-12-13 14:43:00,4
1624,AA-1522-SFO-ORD,2011-12-13 23:55:00,2011-12-13 00:00:00,58A,2011-12-14 05:50:00,2011-12-14 00:00:00,H9
1625,AA-1434-DFW-MCO,2011-12-13 07:15:00,2011-12-13 07:10:00,C26,2011-12-13 10:35:00,2011-12-13 10:28:00,15
1626,AA-59-JFK-SFO,2011-12-13 07:10:00,2011-12-13 07:08:00,40,2011-12-13 10:45:00,2011-12-13 10:52:00,58B
1627,AA-415-BOS-ORD,2011-12-13 08:35:00,2011-12-13 08:28:00,B29,2011-12-13 10:40:00,2011-12-13 10:14:00,K13
1628,AA-222-LAX-BOS,2011-12-13 07:10:00,2011-12-13 07:03:00,47A,2011-12-13 15:30:00,2011-12-13 15:08:00,B34
1629,AA-3823-LAX-DEN,2011-12-13 21:00:00,2011-12-13 00:00:00,44J,2011-12-14 00:15:00,2011-12-14 00:00:00,A49
1630,AA-1165-JFK-MIA,2011-12-13 06:59:00,2011-12-13 07:38:00,14,2011-12-13 10:34:00,2011-12-13 10:30:00,D2
1631,AA-3786-IAH-ORD,2011-12-13 16:00:00,2011-12-13 15:59:00,A29,2011-12-13 18:40:00,2011-12-13 18:04:00,G13
1632,AA-3468-CVG-MIA,2011-12-13 07:00:00,2011-12-13 06:53:00,1,2011-12-13 09:55:00,2011-12-13 09:22:00,D60D
1633,AA-204-LAX-MCO,2011-12-13 23:25:00,2011-12-13 00:00:00,47A,2011-12-14 06:55:00,2011-12-14 00:00:00,TBA
1634,AA-466-IAH-MIA,2011-12-13 06:00:00,2011-12-13 05:57:00,A27,2011-12-13 09:20:00,2011-12-13 09:18:00,D46
1635,AA-3-JFK-LAX,2011-12-13 12:00:00,2011-12-13 11:53:00,46,2011-12-13 15:15:00,2011-12-13 15:17:00,48B
1636,AA-1007-MIA-PHX,2011-12-13 16:55:00,2011-12-13 16:55:00,D17,2011-12-13 20:05:00,2011-12-13 20:08:00,6
1637,AA-271-MIA-LAX,2011-12-13 11:35:00,2011-12-13 11:50:00,D32,2011-12-13 14:25:00,2011-12-13 14:16:00,46A
1638,AA-643-MIA-ORD,,2011-12-13 00:00:00,D3,,2011-12-13 00:00:00,H15
1639,AA-4198-ORD-CLE,2011-12-13 10:40:00,2011-12-13 11:40:00,G14A,2011-12-13 12:55:00,2011-12-13 13:41:00,A3
1640,AA-400-DFW-JFK,2011-12-13 10:40:00,2011-12-13 10:46:00,D22,2011-12-13 14:59:00,2011-12-13 14:53:00,41
1641,AA-1886-BOS-MIA,2011-12-13 10:45:00,2011-12-13 10:47:00,B33,2011-12-13 14:20:00,2011-12-13 13:48:00,D23
1642,AA-1917-JFK-MCO,2011-12-13 14:55:00,2011-12-13 15:03:00,40,2011-12-13 17:55:00,2011-12-13 17:53:00,16
1643,AA-3809-PHX-LAX,2011-12-13 06:00:00,2011-12-13 05:56:00,2,2011-12-13 06:40:00,2011-12-13 06:25:00,44I
1644,AA-2957-DFW-CVG,2011-12-13 07:55:00,2011-12-13 07:48:00,B10B,2011-12-13 11:05:00,2011-12-13 10:54:00,3
1645,UA-1500-IAH-GUA,2011-12-13 08:55:00,2011-12-13 09:18:00,E3,2011-12-13 11:45:00,2011-12-13 12:07:00,15
1646,UA-3515-IAD-MSP,2011-12-13 08:15:00,2011-12-13 08:08:00,D16,2011-12-13 10:06:00,2011-12-13 10:21:00,E6
1647,UA-664-ORD-PHL,2011-12-13 13:27:00,2011-12-13 13:24:00,C24,2011-12-13 16:25:00,2011-12-13 16:23:00,D9
1648,UA-414-LAX-SFO,2011-12-13 06:00:00,2011-12-13 05:58:00,73,2011-12-13 07:23:00,2011-12-13 07:11:00,89
1649,UA-257-JFK-SFO,2011-12-13 14:30:00,2011-12-13 14:28:00,7,2011-12-13 18:15:00,2011-12-13 17:50:00,73
1650,UA-62-IAH-EWR,2011-12-13 14:30:00,2011-12-13 14:33:00,C-39,2011-12-13 19:03:00,2011-12-13 19:05:00,C74
1651,UA-843-LAX-ORD,2011-12-13 13:55:00,2011-12-13 13:55:00,77,2011-12-13 19:53:00,2011-12-13 19:25:00,B14
1652,UA-248-PHX-ORD,2011-12-13 12:54:00,2011-12-13 12:54:00,5,2011-12-13 17:13:00,2011-12-13 16:56:00,B11
1653,UA-248-PHX-ORD,2011-12-13 12:54:00,2011-12-13 14:46:00,5,2011-12-13 17:13:00,2011-12-13 18:43:00,C21
1654,UA-397-JFK-SFO,2011-12-13 08:00:00,2011-12-13 07:57:00,10,2011-12-13 11:55:00,2011-12-13 11:32:00,85
1655,UA-2704-DTW-PHX,2011-12-13 11:15:00,2011-12-13 11:15:00,D14,2011-12-13 13:40:00,2011-12-13 14:02:00,A6
1656,UA-2515-DFW-CLT,2011-12-13 07:05:00,2011-12-13 07:17:00,E35,2011-12-13 10:31:00,2011-12-13 10:42:00,D9
1657,UA-3373-IAD-PHL,2011-12-13 08:29:00,2011-12-13 08:26:00,C26,2011-12-13 09:24:00,2011-12-13 09:19:00,D7
1658,UA-2906-PHL-MCO,2011-12-13 15:50:00,2011-12-13 15:50:00,C27,2011-12-13 18:23:00,2011-12-13 18:10:00,58
1659,UA-938-DEN-ORD,2011-12-13 16:16:00,2011-12-13 17:17:00,B45,2011-12-13 19:35:00,2011-12-13 20:17:00,C25
1660,UA-3099-PHX-PHL,2011-12-13 11:55:00,2011-12-13 11:55:00,B13,2011-12-13 18:17:00,2011-12-13 18:12:00,A4
1661,UA-3925-IAD-ORF,2011-12-13 08:42:00,2011-12-13 08:55:00,A2G,2011-12-13 09:55:00,2011-12-13 10:27:00,-
1662,UA-5487-SFO-MRY,2011-12-13 10:39:00,2011-12-13 10:43:00,87A,2011-12-13 11:19:00,2011-12-13 11:40:00,-
1663,UA-3050-PHX-CLT,2011-12-13 11:05:00,2011-12-13 11:05:00,A21,2011-12-13 16:57:00,2011-12-13 16:49:00,B5
1664,UA-828-SFO-ORD,2011-12-13 23:08:00,2011-12-13 23:08:00,68,2011-12-14 05:11:00,2011-12-14 05:11:00,B8
1665,UA-2830-MCO-CLT,2011-12-13 15:27:00,2011-12-13 15:36:00,58,2011-12-13 17:05:00,2011-12-13 17:26:00,C15
1666,UA-37-EDI-EWR,2011-12-13 09:05:00,2011-12-13 08:54:00,-,2011-12-13 11:53:00,2011-12-13 11:38:00,B63
1667,UA-2708-EWR-CLT,2011-12-13 14:55:00,2011-12-13 14:55:00,A37,2011-12-13 16:53:00,2011-12-13 16:29:00,C13
1668,UA-233-LAX-JFK,2011-12-13 16:25:00,2011-12-13 16:25:00,73,2011-12-14 00:29:00,2011-12-14 00:29:00,3
1669,UA-2726-FLL-PHL,2011-12-13 16:00:00,2011-12-13 16:00:00,E3,2011-12-13 18:46:00,2011-12-13 18:35:00,B5
1670,UA-2945-PHL-CLT,2011-12-13 00:00:00,2011-12-13 14:12:00,B9,2011-12-13 13:45:00,2011-12-13 13:36:00,C15
1671,UA-6273-YYC-SFO,2011-12-13 07:35:00,2011-12-13 07:24:00,-,2011-12-13 09:43:00,2011-12-13 09:06:00,76B
1672,UA-2314-ATL-PHL,2011-12-13 14:55:00,2011-12-13 14:55:00,D23,2011-12-13 17:00:00,2011-12-13 16:46:00,B6
1673,UA-382-IAD-LAX,2011-12-13 12:30:00,2011-12-13 12:29:00,C27,2011-12-13 15:19:00,2011-12-13 15:14:00,72
1674,UA-382-IAD-LAX,2011-12-13 12:30:00,2011-12-13 12:29:00,C27,2011-12-13 15:19:00,2011-12-13 15:28:00,75B
1675,UA-854-SFO-IAH,2011-12-13 07:53:00,2011-12-13 07:48:00,85,2011-12-13 13:39:00,2011-12-13 13:31:00,C16
1676,CO-1586-IAH-MCO,2011-12-13 19:00:00,2011-12-13 19:04:00,-,2011-12-13 22:15:00,2011-12-13 22:13:00,-
1677,CO-1694-LAX-IAH,2011-12-13 19:15:00,2011-12-13 19:15:00,-,2011-12-13 00:21:00,2011-12-13 00:21:00,-
1678,CO-4888-IAH-DAL,2011-12-13 17:30:00,2011-12-13 17:30:00,-,2011-12-13 18:40:00,2011-12-13 18:40:00,-
1679,CO-1088-CLE-IAH,2011-12-13 08:40:00,2011-12-13 08:37:00,-,2011-12-13 10:54:00,2011-12-13 10:51:00,-
1680,CO-16-LAX-EWR,2011-12-13 10:25:00,2011-12-13 10:25:00,-,2011-12-13 18:44:00,2011-12-13 18:10:00,-
1681,CO-58-DEN-IAH,2011-12-13 11:25:00,2011-12-13 11:58:00,-,2011-12-13 14:50:00,2011-12-13 15:26:00,-
1682,CO-1193-EWR-MCO,2011-12-13 09:15:00,2011-12-13 09:14:00,-,2011-12-13 12:18:00,2011-12-13 12:08:00,-
1683,CO-1023-IAH-DEN,2011-12-13 11:40:00,2011-12-13 11:40:00,-,2011-12-13 13:17:00,2011-12-13 12:55:00,-
1684,CO-1250-MIA-IAH,2011-12-13 14:53:00,2011-12-13 14:52:00,-,2011-12-13 16:45:00,2011-12-13 16:41:00,-
1685,CO-62-IAH-EWR,2011-12-13 14:30:00,2011-12-13 14:33:00,-,2011-12-13 19:03:00,2011-12-13 19:05:00,-
1686,CO-52-IAH-LAX,2011-12-13 07:35:00,2011-12-13 07:44:00,-,2011-12-13 09:21:00,2011-12-13 09:29:00,-
1687,CO-1614-LAX-IAH,2011-12-13 00:30:00,2011-12-13 00:54:00,-,2011-12-13 05:35:00,2011-12-13 05:43:00,-
1688,CO-89-IAH-EWR,2011-12-13 06:00:00,2011-12-13 05:54:00,-,2011-12-13 10:20:00,2011-12-13 10:11:00,-
1689,CO-1090-BOS-IAH,2011-12-13 09:45:00,2011-12-13 09:45:00,-,2011-12-13 13:16:00,2011-12-13 13:11:00,-
1690,CO-45-EWR-MIA,2011-12-13 16:00:00,2011-12-13 16:23:00,-,2011-12-13 19:05:00,2011-12-13 19:02:00,-
1691,CO-63-EWR-IAH,2011-12-13 17:25:00,2011-12-13 17:28:00,-,2011-12-13 20:22:00,2011-12-13 20:43:00,-
1692,CO-50-CLE-EWR,2011-12-13 14:55:00,2011-12-13 14:48:00,-,2011-12-13 16:49:00,2011-12-13 16:33:00,-
1693,CO-1561-PHX-IAH,2011-12-13 08:05:00,2011-12-13 08:05:00,-,2011-12-13 11:35:00,2011-12-13 11:34:00,-
1694,CO-47-IAH-LAX,2011-12-13 19:10:00,2011-12-13 19:18:00,-,2011-12-13 20:56:00,2011-12-13 20:46:00,-
1695,AA-1221-MCO-ORD,2011-12-26 20:00:00,2011-12-26 20:21:00,15,2011-12-26 21:50:00,2011-12-26 21:57:00,H12
1696,AA-4307-ORD-DTW,2011-12-26 18:45:00,2011-12-26 19:32:00,G7,2011-12-26 21:10:00,2011-12-26 21:46:00,D28
1697,AA-616-DFW-DTW,2011-12-26 09:05:00,2011-12-26 09:05:00,D37,2011-12-26 12:35:00,2011-12-26 12:29:00,D32
1698,AA-431-MIA-SFO,2011-12-26 08:35:00,2011-12-26 08:32:00,D11,2011-12-26 11:50:00,2011-12-26 11:35:00,57
1699,AA-3756-ORD-SLC,2011-12-26 12:15:00,2011-12-26 12:15:00,G19,2011-12-26 14:45:00,2011-12-26 14:33:00,A3
1700,AA-2050-ORD-MIA,2011-12-26 10:40:00,2011-12-26 11:01:00,K13,2011-12-26 14:45:00,2011-12-26 14:53:00,D40
1701,AA-3804-PHL-ORD,2011-12-26 14:35:00,2011-12-26 14:27:00,A7,2011-12-26 16:05:00,2011-12-26 15:36:00,H5
1702,AA-1664-MIA-ATL,2011-12-26 10:15:00,2011-12-26 10:17:00,D6,2011-12-26 12:10:00,2011-12-26 12:12:00,T11
1703,AA-789-ORD-DEN,2011-12-26 13:05:00,2011-12-26 13:03:00,H11B,2011-12-26 14:35:00,2011-12-26 14:30:00,A49
1704,AA-1733-ORD-PHX,2011-12-26 19:45:00,2011-12-26 19:49:00,K12,2011-12-26 22:30:00,2011-12-26 00:00:00,6
1705,AA-1733-ORD-PHX,2011-12-26 19:45:00,2011-12-26 19:49:00,K12,2011-12-26 22:30:00,2011-12-26 00:00:00,6
1706,AA-4277-CVG-JFK,2011-12-26 12:10:00,2011-12-26 12:03:00,1,2011-12-26 14:15:00,2011-12-26 13:55:00,31C
1707,AA-2312-DFW-DTW,2011-12-26 20:25:00,2011-12-26 00:00:00,A36,2011-12-26 23:50:00,2011-12-26 00:00:00,D32
1708,AA-85-JFK-SFO,2011-12-26 15:05:00,2011-12-26 14:59:00,12,2011-12-26 18:30:00,2011-12-26 18:21:00,58B
1709,AA-404-MIA-MCO,2011-12-26 06:45:00,2011-12-26 06:38:00,E5,2011-12-26 07:45:00,2011-12-26 07:49:00,15
1710,AA-446-DFW-PHL,2011-12-26 11:50:00,2011-12-26 11:48:00,A36,2011-12-26 15:50:00,2011-12-26 15:44:00,A9
1711,AA-2268-PHX-ORD,2011-12-26 07:15:00,2011-12-26 07:09:00,6,2011-12-26 11:35:00,2011-12-26 11:15:00,K13
1712,AA-4344-ORD-DTW,2011-12-26 11:45:00,2011-12-26 11:45:00,G3,2011-12-26 14:00:00,2011-12-26 13:53:00,D28
1713,AA-484-DFW-MIA,2011-12-26 16:15:00,2011-12-26 16:16:00,D17,2011-12-26 19:55:00,2011-12-26 19:56:00,D38
1714,AA-3979-CVG-ORD,2011-12-26 07:30:00,2011-12-26 07:28:00,5,2011-12-26 08:00:00,2011-12-26 07:59:00,G12
1715,AA-3063-SLC-LAX,2011-12-26 20:20:00,2011-12-26 20:08:00,A3,2011-12-26 21:20:00,2011-12-26 00:00:00,44F
1716,AA-3859-IAH-ORD,2011-12-26 07:10:00,2011-12-26 07:06:00,A30,2011-12-26 09:40:00,2011-12-26 09:42:00,H1A
1717,AA-3842-MSP-ORD,2011-12-26 06:00:00,2011-12-26 06:00:00,E14,2011-12-26 07:30:00,2011-12-26 07:35:00,G19
1718,AA-1544-SAN-ORD,2011-12-26 11:25:00,2011-12-26 11:22:00,27,2011-12-26 17:25:00,2011-12-26 17:29:00,H6
1719,AA-649-ORD-SNA,2011-12-26 13:30:00,2011-12-26 00:00:00,H10,2011-12-26 15:50:00,2011-12-26 00:00:00,7
1720,AA-1640-MIA-MCO,2011-12-26 18:30:00,2011-12-26 00:00:00,D49,2011-12-26 19:25:00,2011-12-26 00:00:00,14
1721,AA-518-MIA-JFK,2011-12-26 06:30:00,2011-12-26 06:30:00,D16,2011-12-26 09:15:00,2011-12-26 09:19:00,4
1722,AA-2525-DFW-MIA,2011-12-26 07:25:00,2011-12-26 07:19:00,A24,2011-12-26 11:10:00,2011-12-26 10:56:00,D14
1723,AA-1279-DFW-PHX,2011-12-26 13:00:00,2011-12-26 13:01:00,C39,2011-12-26 14:35:00,2011-12-26 14:37:00,4
1724,AA-1522-SFO-ORD,2011-12-26 23:55:00,2011-12-26 00:00:00,57,2011-12-27 05:50:00,2011-12-27 00:00:00,H10
1725,AA-1434-DFW-MCO,2011-12-26 07:15:00,2011-12-26 07:10:00,D38,2011-12-26 10:35:00,2011-12-26 10:48:00,17
1726,AA-59-JFK-SFO,2011-12-26 07:10:00,2011-12-26 07:03:00,36,2011-12-26 10:45:00,2011-12-26 10:36:00,58B
1727,AA-415-BOS-ORD,2011-12-26 08:35:00,2011-12-26 08:32:00,B29,2011-12-26 10:40:00,2011-12-26 10:08:00,K18
1728,AA-222-LAX-BOS,2011-12-26 07:10:00,2011-12-26 07:01:00,40,2011-12-26 15:30:00,2011-12-26 15:18:00,B28
1729,AA-3823-LAX-DEN,2011-12-26 21:00:00,2011-12-26 00:00:00,44J,2011-12-27 00:15:00,2011-12-27 00:00:00,A49
1730,AA-1165-JFK-MIA,2011-12-26 06:59:00,2011-12-26 06:51:00,12,2011-12-26 10:34:00,2011-12-26 09:44:00,D50
1731,AA-3786-IAH-ORD,2011-12-26 16:00:00,2011-12-26 16:05:00,A29,2011-12-26 18:40:00,2011-12-26 18:36:00,H2
1732,AA-4330-CVG-ORD,2011-12-26 15:35:00,2011-12-26 15:28:00,5,2011-12-26 16:00:00,2011-12-26 15:31:00,G1B
1733,AA-3468-CVG-MIA,2011-12-26 07:00:00,2011-12-26 06:55:00,3,2011-12-26 09:55:00,2011-12-26 09:36:00,D55
1734,AA-204-LAX-MCO,2011-12-26 23:25:00,2011-12-26 00:00:00,42A,2011-12-27 06:55:00,2011-12-27 00:00:00,16
1735,AA-466-IAH-MIA,2011-12-26 06:00:00,2011-12-26 05:58:00,A27,2011-12-26 09:20:00,2011-12-26 09:12:00,D39
1736,AA-3-JFK-LAX,2011-12-26 12:00:00,2011-12-26 11:56:00,36,2011-12-26 15:15:00,2011-12-26 15:09:00,46A
1737,AA-1007-MIA-PHX,2011-12-26 16:55:00,2011-12-26 16:50:00,D30,2011-12-26 20:05:00,2011-12-26 19:42:00,6
1738,AA-271-MIA-LAX,2011-12-26 11:35:00,2011-12-26 11:36:00,D12,2011-12-26 14:25:00,2011-12-26 14:08:00,42A
1739,AA-643-MIA-ORD,2011-12-26 07:10:00,2011-12-26 07:06:00,D3,2011-12-26 09:35:00,2011-12-26 09:21:00,H15
1740,AA-4198-ORD-CLE,2011-12-26 10:40:00,2011-12-26 10:34:00,G9,2011-12-26 12:55:00,2011-12-26 12:43:00,A1
1741,AA-400-DFW-JFK,2011-12-26 10:40:00,2011-12-26 10:45:00,C14,2011-12-26 14:59:00,2011-12-26 14:48:00,42
1742,AA-1886-BOS-MIA,2011-12-26 10:45:00,2011-12-26 10:44:00,B28,2011-12-26 14:20:00,2011-12-26 13:48:00,D4
1743,AA-1917-JFK-MCO,2011-12-26 14:55:00,2011-12-26 15:13:00,3,2011-12-26 17:55:00,2011-12-26 17:46:00,16
1744,AA-3809-PHX-LAX,2011-12-26 06:00:00,2011-12-26 06:00:00,2,2011-12-26 06:40:00,2011-12-26 06:28:00,44I
1745,AA-2957-DFW-CVG,2011-12-26 07:55:00,2011-12-26 07:49:00,B22,2011-12-26 11:05:00,2011-12-26 10:49:00,3
1746,UA-1500-IAH-GUA,2011-12-26 08:50:00,2011-12-26 08:50:00,E2,2011-12-26 11:43:00,2011-12-26 11:36:00,15
1747,UA-3515-IAD-MSP,2011-12-26 08:19:00,2011-12-26 08:26:00,D18,2011-12-26 10:09:00,2011-12-26 10:19:00,E10
1748,UA-664-ORD-PHL,2011-12-26 13:35:00,2011-12-26 13:38:00,C25,2011-12-26 16:38:00,2011-12-26 16:23:00,D9
1749,UA-414-LAX-SFO,2011-12-26 06:00:00,2011-12-26 05:57:00,75A,2011-12-26 07:26:00,2011-12-26 07:22:00,72
1750,UA-257-JFK-SFO,2011-12-26 14:30:00,2011-12-26 14:25:00,10,2011-12-26 18:14:00,2011-12-26 18:02:00,94
1751,UA-62-IAH-EWR,2011-12-26 14:30:00,2011-12-26 14:27:00,C-37,2011-12-26 19:03:00,2011-12-26 18:45:00,C81
1752,UA-843-LAX-ORD,2011-12-26 14:10:00,2011-12-26 14:20:00,70A,2011-12-26 20:12:00,2011-12-26 20:13:00,C25
1753,UA-248-PHX-ORD,2011-12-26 12:52:00,2011-12-26 12:52:00,5,2011-12-26 17:13:00,2011-12-26 17:13:00,B11
1754,UA-248-PHX-ORD,2011-12-26 12:52:00,2011-12-26 12:50:00,5,2011-12-26 17:13:00,2011-12-26 17:13:00,B11
1755,UA-397-JFK-SFO,2011-12-26 08:25:00,2011-12-26 08:25:00,9,2011-12-26 12:14:00,2011-12-26 11:48:00,83
1756,UA-2704-DTW-PHX,2011-12-26 11:15:00,2011-12-26 11:23:00,D14,2011-12-26 13:40:00,2011-12-26 13:30:00,A8
1757,UA-2515-DFW-CLT,2011-12-26 07:00:00,2011-12-26 07:00:00,E35,2011-12-26 10:26:00,2011-12-26 10:07:00,B9
1758,UA-3373-IAD-PHL,2011-12-26 08:30:00,2011-12-26 08:51:00,A5D,2011-12-26 09:25:00,2011-12-26 09:46:00,D7
1759,UA-2906-PHL-MCO,2011-12-26 15:50:00,2011-12-26 15:50:00,B13,2011-12-26 18:23:00,2011-12-26 17:59:00,58
1760,UA-938-DEN-ORD,2011-12-26 15:54:00,2011-12-26 15:48:00,B45,2011-12-26 19:17:00,2011-12-26 19:01:00,C9
1761,UA-3099-PHX-PHL,2011-12-26 11:55:00,2011-12-26 11:55:00,A14,2011-12-26 18:17:00,2011-12-26 18:08:00,A10
1762,UA-3925-IAD-ORF,2011-12-26 08:42:00,2011-12-26 08:43:00,A2G,2011-12-26 09:55:00,2011-12-26 09:44:00,-
1763,UA-5487-SFO-MRY,2011-12-26 10:37:00,2011-12-26 12:26:00,76A,2011-12-26 11:24:00,2011-12-26 13:18:00,-
1764,UA-3050-PHX-CLT,2011-12-26 11:05:00,2011-12-26 11:05:00,A7,2011-12-26 16:57:00,2011-12-26 16:54:00,B6
1765,UA-828-SFO-ORD,2011-12-26 23:13:00,2011-12-26 23:13:00,84,2011-12-27 05:15:00,2011-12-27 05:15:00,B16
1766,UA-2830-MCO-CLT,2011-12-26 15:27:00,2011-12-26 15:27:00,58,2011-12-26 17:05:00,2011-12-26 17:04:00,C10
1767,UA-37-EWR-MCO,2011-12-26 13:29:00,2011-12-26 13:29:00,C136,2011-12-26 16:22:00,2011-12-26 16:13:00,39
1768,UA-2708-EWR-CLT,2011-12-26 14:55:00,2011-12-26 14:55:00,A37,2011-12-26 16:53:00,2011-12-26 16:37:00,C13
1769,UA-233-LAX-JFK,2011-12-26 16:25:00,2011-12-26 16:25:00,73,2011-12-27 00:44:00,2011-12-27 00:44:00,5
1770,UA-2726-FLL-PHL,2011-12-26 16:00:00,2011-12-26 16:00:00,E3,2011-12-26 18:46:00,2011-12-26 18:34:00,C17
1771,UA-2945-PHL-CLT,2011-12-26 00:00:00,2011-12-26 10:11:00,C21,2011-12-26 13:45:00,2011-12-26 13:24:00,C12
